term,key,1,2,3
(Intercept),estimate,469868.49,13.04,729.66
(Intercept),std.error,22026.19,0.06,17.41
ADUdummy,estimate,-41573.72,-0.09,-32.34
ADUdummy,std.error,5708.75,0.01,4.51
age_sold,estimate,438.47,0,0.28
age_sold,std.error,36.07,0,0.03
attic_dumTRUE,estimate,-3938.27,0.01,0.48
attic_dumTRUE,std.error,1764.09,0,1.39
bsmt_dumTRUE,estimate,-3211.71,0.03,3.41
bsmt_dumTRUE,std.error,1851.71,0,1.46
CN_score,estimate,-174.98,0,-0.14
CN_score,std.error,91.54,0,0.07
conAirHgt,estimate,14314.9,0.03,10.8
conAirHgt,std.error,3665.2,0.01,2.9
conCovrly,estimate,-1697,0.01,0.37
conCovrly,std.error,4355.74,0.01,3.44
conECSI,estimate,100584.9,0.24,82.67
conECSI,std.error,70371.72,0.18,55.63
conFld100,estimate,-11336.82,-0.01,-6.07
conFld100,std.error,10805.47,0.03,8.54
conGW,estimate,29515.92,0.12,31.95
conGW,std.error,40269.5,0.1,31.83
conHist,estimate,37612.66,0.06,25.21
conHist,std.error,5794.23,0.01,4.58
conHistLdm,estimate,13773.33,-0.04,-2.3
conHistLdm,std.error,27903.09,0.07,22.06
conLSHA,estimate,9679.72,0.03,9.15
conLSHA,std.error,3768.55,0.01,2.98
conLUST,estimate,-20513.61,0.02,-3.45
conLUST,std.error,71386.93,0.18,56.43
conNoise,estimate,-3702.29,0.01,-0.56
conNoise,std.error,8700.72,0.02,6.88
conPovrly,estimate,-25407.82,-0.03,-14.37
conPovrly,std.error,6094.93,0.02,4.82
conPrvCom,estimate,340010.03,0.35,186.04
conPrvCom,std.error,100286.51,0.25,79.28
conPubOwn,estimate,9714.7,-0.07,-5.6
conPubOwn,std.error,27623.39,0.07,21.84
conSewer,estimate,8782.49,0.02,8.55
conSewer,std.error,12512.73,0.03,9.89
conSLIDO,estimate,-22101.51,-0.03,-13.85
conSLIDO,std.error,5777.51,0.01,4.57
conSlp25,estimate,10931.09,0.01,5.62
conSlp25,std.error,3936.04,0.01,3.11
conStorm,estimate,-2895.27,0,-0.96
conStorm,std.error,2966.4,0.01,2.34
conTranCap,estimate,-7242.98,-0.01,-5.42
conTranCap,std.error,2993.37,0.01,2.37
conTranInt,estimate,-6543.1,-0.02,-5.87
conTranInt,std.error,3175.6,0.01,2.51
conTranSub,estimate,-9795.13,-0.02,-7.96
conTranSub,std.error,1882.24,0,1.49
conWater,estimate,-7096.53,-0.03,-7.73
conWater,std.error,3661.2,0.01,2.89
conWetland,estimate,-59448.78,-0.06,-35.11
conWetland,std.error,23659.97,0.06,18.7
deck_dumTRUE,estimate,5627.18,0.02,6.04
deck_dumTRUE,std.error,1468.6,0,1.16
dist_cityhall,estimate,-5.37,0,0
dist_cityhall,std.error,0.36,0,0
dist_ugb,estimate,-1.32,0,0
dist_ugb,std.error,0.44,0,0
f_baths,estimate,55965.21,0.12,42.37
f_baths,std.error,1213.29,0,0.96
garage_dumTRUE,estimate,14022.46,0.04,13.05
garage_dumTRUE,std.error,1876.65,0,1.48
h_baths,estimate,41858.09,0.09,31.66
h_baths,std.error,1568.14,0,1.24
HIGH_SCHCLEVELAND HS,estimate,-30830.92,-0.13,-34.42
HIGH_SCHCLEVELAND HS,std.error,12692.32,0.03,10.03
HIGH_SCHDAVID DOUGLAS HS,estimate,-37102.56,-0.11,-34.99
HIGH_SCHDAVID DOUGLAS HS,std.error,8497.23,0.02,6.72
HIGH_SCHFRANKLIN HS,estimate,-34483.41,-0.13,-36.23
HIGH_SCHFRANKLIN HS,std.error,11700.4,0.03,9.25
HIGH_SCHGRANT HS,estimate,-950.23,-0.09,-15.7
HIGH_SCHGRANT HS,std.error,13945.12,0.04,11.02
HIGH_SCHGRANT-JEFF,estimate,-50053.06,-0.2,-54.18
HIGH_SCHGRANT-JEFF,std.error,18391.27,0.05,14.54
HIGH_SCHLINCOLN HS,estimate,59702.5,0.07,34.82
HIGH_SCHLINCOLN HS,std.error,16573.91,0.04,13.1
HIGH_SCHMADISON HS,estimate,-75903.75,-0.22,-69.47
HIGH_SCHMADISON HS,std.error,12572.98,0.03,9.94
HIGH_SCHMADISON-JEFF,estimate,-80591.64,-0.21,-68.71
HIGH_SCHMADISON-JEFF,std.error,15241.17,0.04,12.05
HIGH_SCHPARKROSE HS,estimate,-22720.43,-0.08,-23.18
HIGH_SCHPARKROSE HS,std.error,12561.39,0.03,9.93
HIGH_SCHREYNOLDS HS,estimate,-10291.16,-0.05,-13.27
HIGH_SCHREYNOLDS HS,std.error,12513.97,0.03,9.89
HIGH_SCHRIVERDALE HS,estimate,453645.58,0.52,262.55
HIGH_SCHRIVERDALE HS,std.error,70933.93,0.18,56.07
HIGH_SCHROOS-JEFF,estimate,-99361.65,-0.29,-88.27
HIGH_SCHROOS-JEFF,std.error,19747.61,0.05,15.61
HIGH_SCHROOSEVELT CAMPUS,estimate,-94283.49,-0.29,-87.49
HIGH_SCHROOSEVELT CAMPUS,std.error,22589.68,0.06,17.86
HIGH_SCHSUNSET HS,estimate,78283.9,0.09,44.7
HIGH_SCHSUNSET HS,std.error,32750.28,0.08,25.89
MapLabelArbor Lodge,estimate,-44341.93,-0.03,-23.83
MapLabelArbor Lodge,std.error,17949.31,0.05,14.19
MapLabelArdenwald-Johnson Creek,estimate,-134675.32,-0.23,-94.68
MapLabelArdenwald-Johnson Creek,std.error,21113.2,0.05,16.69
MapLabelArgay Terrace,estimate,-184838.89,-0.41,-144.76
MapLabelArgay Terrace,std.error,18638.08,0.05,14.73
MapLabelArlington Heights,estimate,4230.65,-0.15,-26.62
MapLabelArlington Heights,std.error,28275.24,0.07,22.35
MapLabelArnold Creek,estimate,-107637.24,-0.27,-88.05
MapLabelArnold Creek,std.error,17562.63,0.04,13.88
MapLabelAshcreek,estimate,-149996.89,-0.33,-117.4
MapLabelAshcreek,std.error,16918.45,0.04,13.37
MapLabelBeaumont-Wilshire,estimate,-12349.14,-0.02,-8.58
